subject,n_back,trialN,blockN,rt,correct,trialType,stim_site,timepoint,counterbalance,sessionNum,days
D_EMO,0,1,1,0.33732522800028164,1,0,DAN,pre,1,2,7
D_EMO,0,2,1,0.44744119999995746,1,1,DAN,pre,1,2,7
D_EMO,0,3,1,0.308357856999919,1,0,DAN,pre,1,2,7
D_EMO,0,4,1,0.3349417220001669,1,0,DAN,pre,1,2,7
D_EMO,0,5,1,0.33009539000022414,1,0,DAN,pre,1,2,7
D_EMO,0,6,1,0.41679053000007116,1,1,DAN,pre,1,2,7
D_EMO,0,7,1,0.3001872429999821,1,0,DAN,pre,1,2,7
D_EMO,0,8,1,0.3508049519996348,1,1,DAN,pre,1,2,7
D_EMO,0,9,1,0.29070018199990955,1,0,DAN,pre,1,2,7
D_EMO,0,10,1,0.3662399279996862,1,1,DAN,pre,1,2,7
D_EMO,0,11,1,0.28706113699990965,1,0,DAN,pre,1,2,7
D_EMO,0,12,1,0.4128095289997873,1,1,DAN,pre,1,2,7
D_EMO,0,13,1,0.3312761759998466,1,0,DAN,pre,1,2,7
D_EMO,0,14,1,0.4756565389998286,1,0,DAN,pre,1,2,7
D_EMO,0,15,1,0.3429211019997638,1,1,DAN,pre,1,2,7
D_EMO,0,16,1,0.32646718200021496,1,0,DAN,pre,1,2,7
D_EMO,0,17,1,0.3125378339996132,1,0,DAN,pre,1,2,7
D_EMO,0,18,1,0.30964650699979757,1,0,DAN,pre,1,2,7
D_EMO,0,1,2,0.4617071880002186,1,0,DAN,pre,1,2,7
D_EMO,0,2,2,0.35957290999976976,1,1,DAN,pre,1,2,7
D_EMO,0,3,2,0.33186324700000114,1,0,DAN,pre,1,2,7
D_EMO,0,4,2,0.3139949679998608,1,0,DAN,pre,1,2,7
D_EMO,0,5,2,0.29055071799984944,1,0,DAN,pre,1,2,7
D_EMO,0,6,2,0.30604645999983404,1,1,DAN,pre,1,2,7
D_EMO,0,7,2,0.28582158000017444,1,0,DAN,pre,1,2,7
D_EMO,0,8,2,0.3264504769999803,1,1,DAN,pre,1,2,7
D_EMO,0,9,2,0.2667673900000409,1,0,DAN,pre,1,2,7
D_EMO,0,10,2,0.36170348499990723,1,1,DAN,pre,1,2,7
D_EMO,0,11,2,0.38270272999989174,1,0,DAN,pre,1,2,7
D_EMO,0,12,2,0.41716120299997783,1,1,DAN,pre,1,2,7
D_EMO,0,13,2,0.26919227400003365,1,0,DAN,pre,1,2,7
D_EMO,0,14,2,0.29301212800010035,1,0,DAN,pre,1,2,7
