subject,n_back,trialN,blockN,rt,correct,trialType,stim_site,timepoint,counterbalance,sessionNum,days
D_EMO,0,1,1,0.337325228,1,0,DAN,pre,1,2,7
D_EMO,0,2,1,0.4474412,1,1,DAN,pre,1,2,7
D_EMO,0,3,1,0.308357857,1,0,DAN,pre,1,2,7
D_EMO,0,4,1,0.334941722,1,0,DAN,pre,1,2,7
D_EMO,0,5,1,0.33009539,1,0,DAN,pre,1,2,7
D_EMO,0,6,1,0.41679053,1,1,DAN,pre,1,2,7
D_EMO,0,7,1,0.300187243,1,0,DAN,pre,1,2,7
D_EMO,0,8,1,0.350804952,1,1,DAN,pre,1,2,7
D_EMO,0,9,1,0.290700182,1,0,DAN,pre,1,2,7
D_EMO,0,10,1,0.366239928,1,1,DAN,pre,1,2,7
D_EMO,0,11,1,0.287061137,1,0,DAN,pre,1,2,7
D_EMO,0,12,1,0.412809529,1,1,DAN,pre,1,2,7
D_EMO,0,13,1,0.331276176,1,0,DAN,pre,1,2,7
D_EMO,0,14,1,0.475656539,1,0,DAN,pre,1,2,7
D_EMO,0,15,1,0.342921102,1,1,DAN,pre,1,2,7
D_EMO,0,16,1,0.326467182,1,0,DAN,pre,1,2,7
D_EMO,0,17,1,0.312537834,1,0,DAN,pre,1,2,7
D_EMO,0,18,1,0.309646507,1,0,DAN,pre,1,2,7
D_EMO,0,1,2,0.461707188,1,0,DAN,pre,1,2,7
D_EMO,0,2,2,0.35957291,1,1,DAN,pre,1,2,7
D_EMO,0,3,2,0.331863247,1,0,DAN,pre,1,2,7
D_EMO,0,4,2,0.313994968,1,0,DAN,pre,1,2,7
D_EMO,0,5,2,0.290550718,1,0,DAN,pre,1,2,7
D_EMO,0,6,2,0.30604646,1,1,DAN,pre,1,2,7
D_EMO,0,7,2,0.28582158,1,0,DAN,pre,1,2,7
D_EMO,0,8,2,0.326450477,1,1,DAN,pre,1,2,7
D_EMO,0,9,2,0.26676739,1,0,DAN,pre,1,2,7
D_EMO,0,10,2,0.361703485,1,1,DAN,pre,1,2,7
D_EMO,0,11,2,0.38270273,1,0,DAN,pre,1,2,7
D_EMO,0,12,2,0.417161203,1,1,DAN,pre,1,2,7
D_EMO,0,13,2,0.269192274,1,0,DAN,pre,1,2,7
D_EMO,0,14,2,0.293012128,1,0,DAN,pre,1,2,7
D_EMO,0,15,2,0.492807303,1,1,DAN,pre,1,2,7
D_EMO,0,16,2,0.700541025,1,0,DAN,pre,1,2,7
D_EMO,0,17,2,0.540025976,1,0,DAN,pre,1,2,7
D_EMO,0,18,2,0.309801997,1,0,DAN,pre,1,2,7
D_EMO,0,1,3,0.427097214,1,0,DAN,pre,1,2,7
D_EMO,0,2,3,0.413178726,1,1,DAN,pre,1,2,7
D_EMO,0,3,3,0.483120408,1,0,DAN,pre,1,2,7
D_EMO,0,4,3,0.43306221,1,0,DAN,pre,1,2,7
